epoch,accuracy,loss,val_accuracy,val_loss
0,0.08023648709058762,3.1826817989349365,0.17922794818878174,3.003641128540039
1,0.20546786487102509,2.9398624897003174,0.3079044222831726,2.799764633178711
2,0.3385005593299866,2.7113864421844482,0.45680147409439087,2.5560998916625977
3,0.4481397867202759,2.448373556137085,0.5661764740943909,2.28313946723938
4,0.5560879111289978,2.1396117210388184,0.6452205777168274,1.9712376594543457
5,0.619087815284729,1.8741754293441772,0.7003676295280457,1.7015266418457031
6,0.6871476769447327,1.6332334280014038,0.7564338445663452,1.4385342597961426
7,0.7426719069480896,1.3954579830169678,0.7996323704719543,1.2331647872924805
8,0.7753664255142212,1.2265113592147827,0.8134191036224365,1.0761054754257202
9,0.8055242300033569,1.0984313488006592,0.841911792755127,0.9479526281356812
10,0.8365276455879211,0.9553094506263733,0.8740808963775635,0.8198332786560059
11,0.8520293235778809,0.8656241297721863,0.8814338445663452,0.7513681650161743
12,0.8647125363349915,0.7919472455978394,0.892463207244873,0.7045674324035645
13,0.8745772242546082,0.7451757192611694,0.8952205777168274,0.6608164310455322
14,0.8765501976013184,0.6999661326408386,0.908088207244873,0.6053446531295776
15,0.8945885300636292,0.6376649737358093,0.9099264740943909,0.5789939761161804
16,0.8954340219497681,0.6159000396728516,0.9163603186607361,0.5488446950912476
17,0.9033257961273193,0.584155797958374,0.9209558963775635,0.5260668992996216
18,0.9174182415008545,0.5441694855690002,0.9209558963775635,0.5089489817619324
19,0.9202367663383484,0.5180680751800537,0.923713207244873,0.5035783052444458
